GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
web-utils,com.grayraccoon.webutils.errors,ApiError,2,71,1,11,0,14,1,7,0,2
web-utils,com.grayraccoon.webutils.errors,ApiValidationError,0,6,0,0,0,3,0,1,0,1
web-utils,com.grayraccoon.webutils.errors.general,ApiSubError,0,3,0,0,0,1,0,1,0,1
web-utils,com.grayraccoon.webutils.ws,BaseWebService,0,20,0,0,0,7,0,2,0,2
web-utils,com.grayraccoon.webutils.config,Oauth2ServerConfig,0,62,0,0,0,18,0,4,0,4
web-utils,com.grayraccoon.webutils.config,WebConfig,0,40,0,0,0,11,0,2,0,2
web-utils,com.grayraccoon.webutils.config,ResourceServerConfig,8,74,0,0,4,16,1,3,1,3
web-utils,com.grayraccoon.webutils.config,UtilsDataSourceConfig.new HashMap() {...},0,60,0,0,0,8,0,1,0,1
web-utils,com.grayraccoon.webutils.config,TaskPoolConfiguration,0,43,0,0,0,11,0,3,0,3
web-utils,com.grayraccoon.webutils.config,BaseWebUtilsConfig,0,3,0,0,0,1,0,1,0,1
web-utils,com.grayraccoon.webutils.config,UtilsDataSourceConfig,0,178,0,4,0,48,0,8,0,6
web-utils,com.grayraccoon.webutils.config,SecurityConfig,24,119,2,2,8,32,3,13,1,13
web-utils,com.grayraccoon.webutils.config,EncodersConfig,0,13,0,0,0,3,0,3,0,3
web-utils,com.grayraccoon.webutils.helpers,FileAsResponseHelper,0,110,0,4,0,36,0,12,0,10
web-utils,com.grayraccoon.webutils.exceptions,CustomApiException,0,10,0,0,0,3,0,1,0,1
web-utils,com.grayraccoon.webutils.services.impl,AsyncRunnerServiceImpl,0,22,0,0,0,8,0,4,0,4
web-utils,com.grayraccoon.webutils.services.impl,CommonEntityOperationsServiceImpl,0,103,0,6,0,22,0,9,0,6
web-utils,com.grayraccoon.webutils.services.impl,CustomValidatorServiceImpl,0,67,1,1,0,23,1,7,0,7
web-utils,com.grayraccoon.webutils.advice,RestExceptionHandler,0,76,0,2,0,24,0,7,0,6
web-utils,com.grayraccoon.webutils.config.factory,YmlPropertyLoaderFactory,4,48,2,2,1,12,2,3,0,3
web-utils,com.grayraccoon.webutils.config.components,CustomAccessTokenConverter,9,3,0,0,3,1,1,1,1,1
web-utils,com.grayraccoon.webutils.config.components,CustomTokenEnhancer,1,53,0,0,1,14,0,2,0,2
